id;avg.hind.leg.mass;body.mass..g.;pre.mr.avg;post.mr.avg;size
1;0.0143;0.2169;0.001020993;0.000501224;lg
2;0.0084;0.2037;0.001089508;0.000399637;lg
3;0.0138;0.185;0.000874086;0.000353355;lg
4;0.0099;0.1781;0.001039141;0.000937166;lg
5;0.0138;0.1734;0.001223244;0.000550696;lg
6;0.0145;0.1663;0.000893503;0.000261534;lg
7;0.0106;0.1647;0.000960551;0.000768556;lg
8;0.0093;0.1647;0.0012633;0.000666445;lg
9;0.0119;0.1636;0.000832934;0.00097158;lg
10;0.0119;0.1636;0.000662437;0.000259647;lg
11;0.0114;0.1626;0.001366464;0.001091925;lg
12;0.0133;0.1622;0.000634003;0.000398972;lg
13;0.0086;0.1615;0.000805646;0.001212357;lg
14;0.0118;0.1592;0.001829319;0.00102548;md
15;0.0107;0.1558;0.00095342;0.000478018;md
16;0.0099;0.1515;0.000632296;0.000442847;md
17;0.0099;0.1485;0.000512566;0.000435858;md
18;0.0073;0.1481;0.001575049;0.001075471;md
19;0.0088;0.1462;0.001150936;0.000580704;md
20;0.0136;0.1453;0.000471647;0.000344965;md
21;0.011;0.1446;0.000882274;0.000712429;md
22;0.0096;0.1437;0.000893042;0.000273775;md
23;0.0133;0.1423;0.000514515;0.000415039;md
24;0.0107;0.1409;0.000658626;0.00064806;md
25;0.0076;0.1387;0.000641999;0.000587073;md
26;0.0089;0.1332;0.000982459;0.001046921;md
27;0.0082;0.1297;0.001294034;0.000886137;md
28;0.0076;0.1294;0.000813675;0.000494894;md
29;0.0096;0.1289;0.000653144;0.000430327;md
30;0.0069;0.1286;0.000968322;0.000787678;md
31;0.0058;0.1267;0.000888355;0.00050108;md
32;0.0072;0.1232;0.00045092;0.000938931;sm
33;0.0053;0.12007;0.000828443;0.000504944;sm
34;0.0063;0.1173;0.000741683;0.000918989;sm
35;0.0075;0.1161;0.000717548;0.00071061;sm
36;0.0075;0.1158;0.00057449;0.000538526;sm
37;0.0063;0.1137;0.000647935;0.000615851;sm
38;0.0088;0.1079;0.000383606;0.00023448;sm
39;0.0045;0.1077;0.000343999;0.000268988;sm
40;0.0056;0.1065;0.000662839;0.000501281;sm
41;0.0045;0.1065;0.000598302;0.000283715;sm
42;0.0037;0.1023;0.000352244;0.000373846;sm
43;0.0036;0.0926;0.000232305;0.000212615;sm
